"Date","Open","High","Low","Close","Change","Change%","Volume('000 shares)"
"2022/05/11","124.5","126","124","125","0.5","0.40","8456.698"
"2022/05/10","125","125.5","124","124.5","-0.5","-0.40","12340.425"
"2022/05/09","126","126.5","124","125","-1.5","-1.19","10443.415"
"2022/05/06","124","127.5","123.5","126.5","1.5","1.20","15952.952"
"2022/05/05","125","126","124.5","125","1","0.81","13508.135"
"2022/05/04","126.5","126.5","123.5","124","-3.5","-2.75","18093.845"
"2022/05/03","130","130.5","127","127.5","-3.5","-2.67","18966.881"
"2022/04/29","131","131.5","129.5","131","-0.5","-0.38","11922.605"
"2022/04/28","132","132.5","130","131.5","-0.5","-0.38","15385.289"
"2022/04/27","131.5","132.5","131.5","132","0","0.00","7377.217"
"2022/04/26","131","132","131","132","0.5","0.38","5457.218"
"2022/04/25","131","131.5","130.5","131.5","0","0.00","7300.701"
"2022/04/22","130.5","131.5","130.5","131.5","0.5","0.38","4627.462"
"2022/04/21","131","131.5","130.5","131","0","0.00","4362.904"
"2022/04/20","129","131","129","131","1.5","1.16","7058.429"
"2022/04/19","130","130.5","129.5","129.5","-0.5","-0.38","6415.796"
"2022/04/18","128.5","130","128.5","130","0.5","0.39","5302.627"
"2022/04/15","129.5","130","129","129.5","-0.5","-0.38","3946.144"
"2022/04/14","128.5","130","128.5","130","1.5","1.17","7556.797"
"2022/04/13","129","129","128","128.5","0","0.00","5636.769"
"2022/04/12","129","129.5","128","128.5","-1.5","-1.15","7169.928"
"2022/04/11","128","130","128","130","2","1.56","12486.786"
"2022/04/08","127.5","128","126.5","128","1","0.79","10377.72"
"2022/04/07","127","127.5","126.5","127","0","0.00","13580.537"
"2022/04/06","127","127","126","127","0","0.00","10164.223"
"2022/04/01","126.5","127","126","127","0","0.00","8187.331"
"2022/03/31","127","127.5","126.5","127","0","0.00","5734.826"
"2022/03/30","127.5","127.5","126.5","127","0","0.00","9627.825"
"2022/03/29","127.5","128","126.5","127","-1","-0.78","6107.134"
"2022/03/28","127","128","126.5","128","0","0.00","8068.685"
"2022/03/25","126","128","126","128","1","0.79","9481.803"
"2022/03/24","125.5","127","125.5","127","0.5","0.40","8353.453"
"2022/03/23","126","126.5","125","126.5","0","0.00","6711.069"
"2022/03/22","126.5","126.5","125","126.5","0","0.00","6987.974"
"2022/03/21","125.5","127","125","126.5","0","0.00","9854.091"
"2022/03/18","126","126.5","125","126.5","1","0.80","14222.899"
"2022/03/17","126","127.5","125","125.5","-0.5","-0.40","16568.719"
"2022/03/16","124","126","124","126","1","0.80","10113.332"
"2022/03/15","123","125","122","125","2","1.63","14584.229"
"2022/03/14","122.5","123","122.5","123","0.5","0.41","5981.535"
"2022/03/11","122.5","122.5","122","122.5","-0.5","-0.41","7858.459"
"2022/03/10","122.5","123","122.5","123","0.5","0.41","5892.819"
"2022/03/09","122","122.5","121.5","122.5","0.5","0.41","4846.163"
"2022/03/08","120","122.5","120","122","1","0.83","11857.541"
"2022/03/07","122","122.5","120.5","121","-2","-1.63","18175.988"
"2022/03/04","122.5","123","122","123","0.5","0.41","8028.327"
"2022/03/03","123.5","124","122","122.5","-1","-0.81","11058.997"
"2022/03/02","125","125","122.5","123.5","-1","-0.80","14720.427"
"2022/03/01","125","125.5","124","124.5","0","0.00","12845.752"
"2022/02/25","124","125","124","124.5","0","0.00","16707.368"
"2022/02/24","125","125.5","124","124.5","-1","-0.80","17141.004"
"2022/02/23","123.5","126","123.5","125.5","2","1.62","16311.578"
"2022/02/22","123","123.5","122.5","123.5","0","0.00","11692.66"
"2022/02/21","122","123.5","121.5","123.5","1.5","1.23","7751.02"
"2022/02/18","121.5","123","121","122","0.5","0.41","10386.896"
"2022/02/17","121.5","122","121","121.5","0.5","0.41","9972.466"
"2022/02/16","120","121","120","121","1","0.83","7266.163"
"2022/02/15","120","120","119.5","120","0","0.00","5265.758"
"2022/02/14","119","120","118.5","120","0.5","0.42","6018.505"
